                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8437,                 3.3816,                 1.4611,                0.01667,                0.64356,                0.08919,                0.03718,                 1.4998,                 3.3105,                 1.3016,                0.00012,                0.00012,                0.00012
                      2,                 1.5117,                 2.3613,                 1.2521,                0.24837,                0.30693,                0.24318,                0.14334,                 1.5364,                 2.9132,                 1.1791,             0.00025485,             0.00025485,             0.00025485
                      3,                  1.566,                 1.7772,                 1.2278,                0.03872,                0.65347,                0.23036,                 0.1119,                 1.5693,                 2.9705,                 1.2458,             0.00038416,             0.00038416,             0.00038416
                      4,                  1.474,                 1.7672,                 1.2052,                0.02115,                0.81683,                0.21465,                0.11286,                 1.5192,                 2.9196,                 1.2002,             0.00050792,             0.00050792,             0.00050792
                      5,                 1.5436,                 1.6366,                 1.2304,                0.94342,                 0.0826,                0.30376,                 0.1661,                 1.6225,                 2.7736,                 1.2696,             0.00062614,             0.00062614,             0.00062614
                      6,                 1.5312,                 1.6204,                 1.2551,                      1,                0.06925,                0.26815,                0.14858,                 1.5647,                 2.8243,                 1.2546,             0.00073882,             0.00073882,             0.00073882
                      7,                  1.482,                 1.4718,                 1.2231,                0.95205,                0.19659,                0.50058,                0.26669,                 1.6835,                  2.598,                 1.3101,             0.00084595,             0.00084595,             0.00084595
                      8,                 1.4942,                  1.435,                 1.2645,                0.73878,                0.29404,                0.42819,                0.23418,                 1.6672,                  2.519,                 1.3174,             0.00094754,             0.00094754,             0.00094754
                      9,                 1.4362,                 1.4743,                 1.1871,                0.62177,                0.13024,                0.24267,                0.10322,                 1.7659,                 2.8673,                 1.4692,              0.0010436,              0.0010436,              0.0010436
                     10,                 1.4257,                 1.4056,                 1.2186,                0.59552,                0.21139,                0.26102,                0.13041,                 1.7765,                 2.6785,                 1.4972,              0.0011341,              0.0011341,              0.0011341
                     11,                 1.4492,                 1.3937,                 1.1663,                0.70255,                0.23267,                0.32701,                0.19299,                 1.5753,                 2.5418,                 1.3072,               0.001219,               0.001219,               0.001219
                     12,                 1.3946,                 1.3719,                 1.1859,                0.54025,                0.31996,                0.32522,                  0.184,                  1.563,                 2.3483,                 1.3275,              0.0012985,              0.0012985,              0.0012985
                     13,                 1.4503,                 1.5211,                 1.2326,                0.37227,                0.33762,                0.27641,                0.14926,                 1.5382,                 2.2718,                 1.3491,              0.0013723,              0.0013723,              0.0013723
                     14,                 1.4035,                 1.3496,                 1.2114,                0.25817,                0.36634,                0.22643,                0.12165,                  1.568,                 2.1514,                 1.3688,              0.0014406,              0.0014406,              0.0014406
                     15,                 1.4536,                 1.3989,                 1.2076,                0.62659,                0.43564,                0.50864,                0.28699,                 1.6161,                 1.8336,                 1.3863,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.4728,                 1.3789,                  1.226,                 0.5258,                0.48515,                0.50369,                 0.2792,                 1.6141,                 1.6932,                 1.3645,               0.001406,               0.001406,               0.001406
                     17,                 1.4159,                 1.3636,                 1.2112,                0.47998,                0.50264,                0.45904,                0.25555,                 1.6373,                 1.7363,                 1.3568,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.4237,                 1.2901,                 1.2001,                0.54806,                0.56931,                0.53479,                 0.2973,                 1.5584,                  1.741,                 1.3413,              0.0013268,              0.0013268,              0.0013268
                     19,                  1.569,                 2.1324,                 1.2288,                0.68058,                0.53465,                0.57597,                0.32525,                 1.5364,                 1.6523,                 1.3475,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.3465,                 1.2478,                 1.1344,                 0.5091,                0.53465,                0.49654,                 0.2683,                 1.5593,                 1.6421,                 1.3442,              0.0012476,              0.0012476,              0.0012476
                     21,                  1.394,                 1.3595,                 1.1594,                0.55156,                0.48712,                0.48516,                0.26226,                 1.5813,                 1.6595,                 1.3567,               0.001208,               0.001208,               0.001208
                     22,                 1.3641,                 1.2526,                 1.1727,                0.63951,                0.52475,                0.57632,                0.32154,                 1.5419,                 1.4753,                 1.3148,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.3833,                 1.2771,                 1.1814,                0.61082,                0.57498,                0.60665,                0.34782,                 1.5795,                 1.4433,                 1.3167,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.4524,                 1.3307,                 1.2082,                0.64748,                0.58194,                0.62925,                0.33529,                   1.63,                 1.4241,                 1.3591,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.3696,                 1.2387,                 1.2046,                0.65662,                0.55941,                0.61696,                0.32604,                 1.6298,                 1.4598,                  1.348,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.3943,                  1.239,                 1.2091,                0.62829,                0.60891,                0.61857,                0.34581,                 1.6013,                 1.4044,                 1.3117,                0.00101,                0.00101,                0.00101
                     27,                  1.291,                 1.1647,                 1.1474,                0.54119,                0.62376,                0.58839,                0.34087,                 1.5269,                 1.3524,                 1.2622,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.3166,                 1.1473,                 1.1599,                0.61544,                0.57836,                0.63828,                0.36564,                 1.5246,                 1.3313,                 1.2397,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.2881,                 1.1118,                 1.1651,                0.67078,                0.58416,                0.65185,                 0.3685,                 1.5306,                 1.3307,                 1.2495,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.249,                 1.1118,                 1.0973,                0.67896,                0.59678,                0.65767,                0.36484,                 1.5174,                 1.4034,                 1.2234,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.2631,                 1.0359,                 1.1186,                0.55443,                0.64851,                0.60832,                0.33822,                 1.5262,                  1.469,                 1.2236,               0.000812,               0.000812,               0.000812
                     32,                 1.2173,                0.99753,                 1.0983,                0.64165,                0.61386,                0.64246,                0.34292,                 1.5917,                 1.3675,                 1.2698,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.4322,                 1.8946,                 1.2582,                0.67907,                0.61386,                0.65472,                0.35409,                 1.5991,                 1.3229,                  1.272,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.3028,                  1.198,                 1.1452,                0.66816,                0.62871,                0.64963,                0.35703,                 1.5769,                  1.328,                 1.2629,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.2835,                 1.0856,                 1.0949,                0.64061,                0.61386,                0.62969,                0.35373,                 1.5293,                 1.3303,                 1.2499,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.2455,                 1.1057,                 1.1037,                0.63837,                0.64356,                0.66076,                0.37056,                 1.5196,                 1.2826,                 1.2556,               0.000614,               0.000614,               0.000614
